Model,F1_Mean,F1_Std,Accuracy,Precision,Recall
1. Random Forest (Class Weight),0.9509242060389667,0.028765666468447162,0.9617664851784633,0.9452260536398468,0.9617664851784633
2. Random Forest (No Weight),0.9509242060389667,0.028765666468447162,0.9617664851784633,0.9452260536398468,0.9617664851784633
3. Extra Trees,0.9474115890164416,0.032785237188749816,0.9582577132486388,0.9414376432198575,0.9582577132486388
5. AdaBoost,0.944215143090571,0.02779666901173048,0.9477918935269207,0.9462889695503126,0.9477918935269207
4. Gradient Boosting,0.9429419577187282,0.03898579398063901,0.947731397459165,0.9428022209928903,0.947731397459165
6. Logistic Regression,0.9390147520952711,0.03450244195236099,0.9408348457350272,0.9440706913574427,0.9408348457350272
8. SVM (Linear),0.9375255479883429,0.03296311537753187,0.9408953418027828,0.9407113747751323,0.9408953418027828
7. Ridge Classifier,0.9231644830250012,0.027230713471955385,0.9165759225650334,0.9341397729782484,0.9165759225650334
10. Decision Tree,0.9198500798171955,0.025464713946060903,0.9166364186327888,0.9257536457335241,0.9166364186327888
9. SVM (RBF),0.9035791533126135,0.02298410859103579,0.9133696309739866,0.9059928316625232,0.9133696309739866
12. Naive Bayes,0.8401040022878767,0.041950400662887695,0.8402903811252269,0.8485066464615973,0.8402903811252269
11. KNN,0.7750133728548562,0.06875383445424357,0.808832425892317,0.7713774833849553,0.808832425892317
13. LDA,0.6145359945818545,0.10925303520901547,0.5621899576527525,0.7188186581516891,0.5621899576527525
